date,meantemp (Â°C),humidity (%),windspeed (m/s),meanpressure (hPa)
1-11-2024,17.0,75,5.0,1012
2-11-2024,18.0,80,4.0,1011
3-11-2024,18.0,75,5.0,1013
4-11-2024,20.0,70,4.0,1010
5-11-2024,20.0,70,5.0,1012
6-11-2024,19.0,72,5.0,1013
7-11-2024,19.0,72,5.0,1011
8-11-2024,19.0,73,5.0,1014
9-11-2024,18.0,70,4.0,1012
10-11-2024,17.0,72,4.0,1013
11-11-2024,18.0,75,4.0,1013
12-11-2024,18.0,75,5.0,1013
13-11-2024,17.0,72,4.0,1011
14-11-2024,16.0,75,5.0,1012
15-11-2024,16.0,72,5.0,1011
16-11-2024,16.0,77,4.0,1010
17-11-2024,16.0,80,5.0,1012
18-11-2024,15.0,78,4.0,1014
19-11-2024,15.30,80,1.40,1013
20-11-2024,17.50,85,1.90,1015
21-11-2024,19.0,87,5.30,1016
22-11-2024,18.30,85,2.80,1014
23-11-2024,18.30,88,1.70,1017
24-11-2024,9.20,80,1.20,1020
25-11-2024,7.50,46,6.70,1028
26-11-2024,8.50,52,3.0,1024
27-11-2024,9.0,61,3.0,1025
28-11-2024,9.50,58,1.60,1027
29-11-2024,10.50,57,2.20,1025
30-11-2024,11.50,51,5.80,1026